window;grid_id;n_trades;pnl_rub;win_rate_pct;profit_factor;max_drawdown_pct;final_equity_rub;game_over;win_windows;n_windows;win_share;from;to
2024-08..2024-10;ref139;136;5004.67;52.9;1.82;0.78;55004.67;False;9;9;1.0;2024-08;2024-10
2024-08..2024-10;tight_after_take;139;5468.23;62.6;2.14;0.59;55468.23;False;9;9;1.0;2024-08;2024-10
2024-08..2024-10;late_conservative;131;3268.51;42.7;1.45;1.16;53268.51;False;9;9;1.0;2024-08;2024-10
2024-08..2024-10;three_step_steady;138;5099.15;62.3;2.07;0.59;55099.15;False;9;9;1.0;2024-08;2024-10
2024-08..2024-10;two_step_aggressive;139;6107.66;52.5;1.98;0.66;56107.66;False;9;9;1.0;2024-08;2024-10
2024-08..2024-10;ultra_late_tight;139;6425.57;52.5;2.03;0.63;56425.57;False;9;9;1.0;2024-08;2024-10
2024-08..2024-10;single_step_2_15;126;5917.45;54.8;2.09;0.81;55917.45;False;9;9;1.0;2024-08;2024-10
2024-08..2024-10;breakeven_2_0;118;2626.44;17.8;1.5;2.74;52626.44;False;9;9;1.0;2024-08;2024-10
2024-11..2025-01;ref139;278;12054.6;46.8;1.9;2.97;62054.6;False;9;9;1.0;2024-11;2025-01
2024-11..2025-01;tight_after_take;300;8729.31;52.7;1.69;3.03;58729.31;False;9;9;1.0;2024-11;2025-01
2024-11..2025-01;late_conservative;262;13904.47;42.4;2.01;3.63;63904.47;False;9;9;1.0;2024-11;2025-01
2024-11..2025-01;three_step_steady;292;9423.49;53.1;1.77;2.69;59423.49;False;9;9;1.0;2024-11;2025-01
2024-11..2025-01;two_step_aggressive;293;12044.66;46.1;1.84;3.61;62044.66;False;9;9;1.0;2024-11;2025-01
2024-11..2025-01;ultra_late_tight;293;13388.26;46.4;1.94;3.42;63388.26;False;9;9;1.0;2024-11;2025-01
2024-11..2025-01;single_step_2_15;272;11128.06;46.7;1.86;3.41;61128.06;False;9;9;1.0;2024-11;2025-01
2024-11..2025-01;breakeven_2_0;227;12364.4;24.2;2.15;4.04;62364.4;False;9;9;1.0;2024-11;2025-01
2025-02..2025-04;ref139;360;6531.31;41.4;1.42;3.13;56531.31;False;9;9;1.0;2025-02;2025-04
2025-02..2025-04;tight_after_take;364;6816.43;49.5;1.52;1.86;56816.43;False;9;9;1.0;2025-02;2025-04
2025-02..2025-04;late_conservative;354;5611.96;36.2;1.33;5.73;55611.96;False;9;9;1.0;2025-02;2025-04
2025-02..2025-04;three_step_steady;364;6305.84;49.2;1.48;1.84;56305.84;False;9;9;1.0;2025-02;2025-04
2025-02..2025-04;two_step_aggressive;360;7812.71;41.7;1.5;2.98;57812.71;False;9;9;1.0;2025-02;2025-04
2025-02..2025-04;ultra_late_tight;361;7908.68;41.6;1.51;2.96;57908.68;False;9;9;1.0;2025-02;2025-04
2025-02..2025-04;single_step_2_15;357;4939.59;41.2;1.32;3.16;54939.59;False;9;9;1.0;2025-02;2025-04
2025-02..2025-04;breakeven_2_0;335;4792.82;19.4;1.31;6.03;54792.82;False;9;9;1.0;2025-02;2025-04
2025-05..2025-07;ref139;370;8850.59;44.3;1.7;2.28;58850.59;False;9;9;1.0;2025-05;2025-07
2025-05..2025-07;tight_after_take;380;4419.76;50.8;1.38;2.57;54419.76;False;9;9;1.0;2025-05;2025-07
2025-05..2025-07;late_conservative;351;7879.83;37.9;1.59;2.22;57879.83;False;9;9;1.0;2025-05;2025-07
2025-05..2025-07;three_step_steady;378;4337.27;50.8;1.38;2.59;54337.27;False;9;9;1.0;2025-05;2025-07
2025-05..2025-07;two_step_aggressive;373;8003.53;44.2;1.63;2.59;58003.53;False;9;9;1.0;2025-05;2025-07
2025-05..2025-07;ultra_late_tight;375;8018.76;44.0;1.62;2.52;58018.76;False;9;9;1.0;2025-05;2025-07
2025-05..2025-07;single_step_2_15;365;8894.38;44.4;1.71;2.43;58894.38;False;9;9;1.0;2025-05;2025-07
